definition,explanation,source
function,A function is a block of organized, reusable code that is used to perform a single, related action. Functions provide better modularity for your application and a high degree of code reusing.,https://www.tutorialspoint.com/python/python_functions.htm
parameter,In computer programming, a parameter is a special kind of variable, used in a subroutine to refer to one of the pieces of data provided as input to the subroutine.,https://en.wikipedia.org/wiki/Parameter_(computer_programming)
variable,Variables are nothing but reserved memory locations to store values. This means that when you create a variable you reserve some space in memory.,https://www.tutorialspoint.com/python/python_variable_types.htm
argument,Pieces of data provided as input.,https://en.wikipedia.org/wiki/Parameter_(computer_programming)
dictionary,Python dictionary is an unordered collection of items. While other compound data types have only value as an element, a dictionary has a key: value pair. Dictionaries are optimized to retrieve values when the key is known., https://www.programiz.com/python-programming/
tuple, In Python programming, a tuple is similar to a list. The difference between the two is that we cannot change the elements of a tuple once it is assigned whereas in a list, elements can be changed.,https://www.programiz.com/python-programming/tuple
ASCII table,ASCII codes represent text in computers, telecommunications equipment, and other devices. Most modern character-encoding schemes are based on ASCII, although they support many additional characters.,https://en.wikipedia.org/wiki/ASCII
module,A module is a file containing Python definitions and statements.,https://docs.python.org/3/tutorial/modules.html
definition1,explanation1,source1
definition2,explanation2,source2
definition3,explanation3,source3
definition4,explanation4,source4
definition5,explanation5,source5
definition6,explanation6,source6
definition7,explanation7,source7

